cap-shape,cap-surface,cap-color,capID
x,s,n,xsn
x,s,y,xsy
b,s,w,bsw
x,y,w,xyw
x,s,g,xsg
x,y,y,xyy
b,s,w,bsw
b,y,w,byw
x,y,w,xyw
b,s,y,bsy
x,y,y,xyy
x,y,y,xyy
b,s,y,bsy
x,y,w,xyw
x,f,n,xfn
s,f,g,sfg
f,f,w,ffw
x,s,n,xsn
x,y,w,xyw
x,s,n,xsn
b,s,y,bsy
x,y,n,xyn
b,y,y,byy
b,y,w,byw
b,s,w,bsw
f,s,w,fsw
x,y,y,xyy
x,y,w,xyw
f,f,n,ffn
x,s,y,xsy
b,s,y,bsy
x,y,w,xyw
x,y,y,xyy
x,y,n,xyn
b,y,y,byy
x,f,y,xfy
s,f,g,sfg
x,y,n,xyn
x,f,y,xfy
b,s,y,bsy
b,y,y,byy
x,y,y,xyy
x,f,n,xfn
x,y,w,xyw
x,s,y,xsy
x,y,w,xyw
x,y,y,xyy
x,s,w,xsw
x,y,y,xyy
f,y,y,fyy
x,y,n,xyn
x,s,w,xsw
b,s,w,bsw
x,y,n,xyn
x,s,w,xsw
b,y,y,byy
f,f,g,ffg
b,s,w,bsw
x,s,y,xsy
x,y,n,xyn
s,f,g,sfg
b,y,y,byy
b,s,y,bsy
b,y,y,byy
b,y,w,byw
f,s,n,fsn
x,s,w,xsw
f,y,y,fyy
x,y,y,xyy
x,f,g,xfg
f,f,y,ffy
b,y,w,byw
f,f,y,ffy
x,y,n,xyn
b,s,y,bsy
f,s,y,fsy
x,s,w,xsw
f,y,n,fyn
x,y,n,xyn
f,y,n,fyn
x,s,n,xsn
x,y,w,xyw
f,f,g,ffg
x,f,g,xfg
x,y,y,xyy
x,s,n,xsn
b,s,w,bsw
x,s,w,xsw
f,y,n,fyn
s,f,n,sfn
x,f,n,xfn
b,s,w,bsw
x,y,y,xyy
x,y,y,xyy
x,s,n,xsn
x,s,w,xsw
f,y,n,fyn
x,s,y,xsy
b,s,w,bsw
x,y,w,xyw
x,f,n,xfn
b,s,y,bsy
f,y,y,fyy
x,y,y,xyy
b,y,w,byw
x,y,y,xyy
x,y,y,xyy
b,y,w,byw
b,y,w,byw
x,s,y,xsy
x,s,y,xsy
s,f,g,sfg
x,f,w,xfw
x,s,y,xsy
x,y,w,xyw
x,y,y,xyy
s,f,g,sfg
x,y,y,xyy
x,s,y,xsy
s,f,n,sfn
x,s,w,xsw
x,y,w,xyw
f,y,n,fyn
f,s,g,fsg
x,s,y,xsy
x,s,w,xsw
b,s,y,bsy
f,f,g,ffg
x,s,w,xsw
b,s,w,bsw
b,s,w,bsw
b,y,w,byw
f,s,w,fsw
x,y,y,xyy
f,s,w,fsw
x,y,w,xyw
f,f,w,ffw
x,y,y,xyy
x,s,n,xsn
b,s,y,bsy
x,y,n,xyn
b,y,y,byy
s,f,n,sfn
f,y,n,fyn
x,y,y,xyy
x,f,g,xfg
f,f,w,ffw
x,y,y,xyy
b,s,y,bsy
b,y,w,byw
x,y,w,xyw
x,s,n,xsn
x,y,w,xyw
s,f,n,sfn
x,s,w,xsw
x,y,n,xyn
b,y,y,byy
x,y,w,xyw
b,y,w,byw
b,s,y,bsy
b,s,y,bsy
b,y,y,byy
x,f,n,xfn
f,y,n,fyn
x,y,w,xyw
f,y,y,fyy
b,s,w,bsw
b,s,w,bsw
x,y,n,xyn
b,s,w,bsw
x,f,g,xfg
b,s,y,bsy
x,f,y,xfy
b,y,y,byy
f,y,y,fyy
b,y,w,byw
b,y,w,byw
b,y,y,byy
x,y,y,xyy
b,s,y,bsy
x,y,w,xyw
s,f,n,sfn
f,f,n,ffn
x,s,y,xsy
f,y,n,fyn
x,y,w,xyw
b,s,w,bsw
f,f,g,ffg
b,y,y,byy
x,y,n,xyn
x,f,w,xfw
x,s,w,xsw
b,s,w,bsw
f,s,y,fsy
x,s,y,xsy
f,f,g,ffg
b,s,y,bsy
x,s,w,xsw
x,y,w,xyw
f,s,w,fsw
x,y,y,xyy
b,s,w,bsw
x,s,w,xsw
x,f,w,xfw
f,y,n,fyn
x,s,w,xsw
b,s,w,bsw
b,s,w,bsw
b,y,w,byw
b,y,w,byw
x,s,y,xsy
b,s,w,bsw
x,f,y,xfy
x,f,g,xfg
f,y,y,fyy
b,s,w,bsw
x,s,y,xsy
x,y,y,xyy
x,y,w,xyw
s,f,g,sfg
x,s,w,xsw
x,s,w,xsw
x,y,y,xyy
f,f,w,ffw
x,y,w,xyw
b,y,w,byw
x,s,w,xsw
x,s,y,xsy
x,y,n,xyn
b,s,y,bsy
x,f,g,xfg
x,y,w,xyw
x,y,y,xyy
f,f,n,ffn
b,s,w,bsw
x,f,w,xfw
x,y,w,xyw
b,y,y,byy
x,y,y,xyy
f,y,y,fyy
f,y,y,fyy
x,s,w,xsw
x,s,w,xsw
x,s,w,xsw
f,f,w,ffw
x,s,w,xsw
x,s,w,xsw
x,y,w,xyw
f,y,y,fyy
x,s,n,xsn
f,y,y,fyy
x,s,n,xsn
s,f,n,sfn
b,y,y,byy
b,s,w,bsw
b,y,w,byw
f,f,n,ffn
x,s,w,xsw
b,y,w,byw
b,y,w,byw
f,y,n,fyn
x,y,w,xyw
x,s,w,xsw
x,y,w,xyw
f,f,w,ffw
f,f,g,ffg
f,s,g,fsg
x,y,y,xyy
b,s,w,bsw
f,y,n,fyn
x,s,w,xsw
f,s,n,fsn
x,y,w,xyw
x,y,y,xyy
f,y,y,fyy
x,y,n,xyn
f,y,n,fyn
x,y,w,xyw
f,f,n,ffn
x,s,y,xsy
x,y,w,xyw
b,y,y,byy
s,f,n,sfn
x,s,y,xsy
b,y,w,byw
f,y,n,fyn
b,y,y,byy
b,y,w,byw
x,y,n,xyn
f,f,g,ffg
x,f,g,xfg
b,y,y,byy
x,s,y,xsy
b,y,w,byw
x,s,w,xsw
b,s,y,bsy
x,s,y,xsy
x,f,g,xfg
f,s,y,fsy
x,y,w,xyw
x,f,w,xfw
b,y,w,byw
x,s,y,xsy
b,y,w,byw
x,y,w,xyw
x,f,n,xfn
b,y,w,byw
x,s,y,xsy
f,y,n,fyn
x,f,w,xfw
x,s,y,xsy
x,y,w,xyw
x,y,y,xyy
x,f,w,xfw
b,s,y,bsy
x,y,w,xyw
x,s,y,xsy
x,y,w,xyw
x,f,w,xfw
f,s,w,fsw
x,y,y,xyy
f,f,y,ffy
x,s,w,xsw
b,y,y,byy
x,y,n,xyn
b,y,w,byw
x,s,y,xsy
x,y,n,xyn
b,s,y,bsy
b,y,w,byw
x,y,n,xyn
b,s,w,bsw
b,y,y,byy
b,y,y,byy
x,y,w,xyw
x,f,n,xfn
x,y,n,xyn
b,s,y,bsy
x,f,g,xfg
x,y,n,xyn
x,s,w,xsw
b,y,w,byw
x,s,y,xsy
f,f,y,ffy
b,y,y,byy
x,f,n,xfn
x,f,y,xfy
x,s,y,xsy
f,s,g,fsg
x,f,n,xfn
f,s,g,fsg
f,y,n,fyn
b,y,w,byw
b,s,y,bsy
x,y,y,xyy
s,f,g,sfg
f,y,n,fyn
x,y,n,xyn
x,y,y,xyy
x,y,y,xyy
x,f,n,xfn
x,f,n,xfn
f,s,n,fsn
f,y,n,fyn
x,s,y,xsy
f,f,n,ffn
x,y,y,xyy
x,f,y,xfy
b,y,y,byy
x,f,g,xfg
x,y,y,xyy
f,y,n,fyn
x,s,y,xsy
s,f,n,sfn
x,s,w,xsw
b,s,w,bsw
s,f,n,sfn
b,y,y,byy
x,y,y,xyy
b,y,y,byy
x,y,n,xyn
x,s,w,xsw
x,y,w,xyw
b,s,w,bsw
x,f,n,xfn
x,s,n,xsn
x,y,n,xyn
x,s,n,xsn
b,y,y,byy
x,s,y,xsy
b,s,y,bsy
x,s,y,xsy
b,y,w,byw
x,f,g,xfg
f,y,n,fyn
x,f,g,xfg
x,s,w,xsw
x,y,y,xyy
x,f,g,xfg
x,s,n,xsn
b,y,w,byw
b,y,w,byw
x,y,n,xyn
b,s,y,bsy
x,s,w,xsw
x,y,y,xyy
b,y,y,byy
x,s,w,xsw
x,s,w,xsw
x,y,n,xyn
x,s,w,xsw
x,s,n,xsn
x,y,n,xyn
x,y,y,xyy
x,y,n,xyn
b,y,y,byy
x,f,w,xfw
x,s,n,xsn
x,y,y,xyy
f,f,g,ffg
x,y,w,xyw
b,y,w,byw
x,y,n,xyn
f,y,n,fyn
x,s,w,xsw
x,s,w,xsw
f,y,n,fyn
b,s,w,bsw
x,s,w,xsw
f,f,g,ffg
x,y,w,xyw
x,y,y,xyy
b,s,y,bsy
b,s,y,bsy
f,s,w,fsw
b,s,w,bsw
x,f,y,xfy
x,y,w,xyw
b,y,y,byy
x,y,n,xyn
x,y,w,xyw
x,y,w,xyw
x,y,y,xyy
x,y,w,xyw
x,s,y,xsy
x,y,n,xyn
x,s,w,xsw
f,y,n,fyn
b,s,w,bsw
x,f,n,xfn
x,y,w,xyw
b,s,w,bsw
b,s,y,bsy
x,f,y,xfy
b,s,w,bsw
x,s,g,xsg
b,s,w,bsw
b,s,y,bsy
f,y,y,fyy
f,y,n,fyn
x,s,w,xsw
f,y,y,fyy
b,s,w,bsw
x,y,y,xyy
x,f,n,xfn
f,y,n,fyn
x,s,w,xsw
x,s,y,xsy
b,y,y,byy
f,y,y,fyy
x,y,y,xyy
x,y,w,xyw
f,f,w,ffw
s,f,g,sfg
f,s,y,fsy
f,f,g,ffg
x,f,n,xfn
b,y,w,byw
x,s,w,xsw
b,y,y,byy
b,y,y,byy
b,y,y,byy
f,s,w,fsw
f,f,g,ffg
f,s,w,fsw
f,y,y,fyy
x,y,w,xyw
s,f,n,sfn
x,y,n,xyn
x,y,n,xyn
f,f,y,ffy
f,s,n,fsn
x,s,n,xsn
f,y,n,fyn
x,y,y,xyy
b,s,y,bsy
f,f,w,ffw
f,y,n,fyn
x,y,w,xyw
b,s,y,bsy
x,s,y,xsy
b,y,y,byy
x,s,w,xsw
b,s,y,bsy
b,y,y,byy
x,s,n,xsn
x,s,g,xsg
f,s,n,fsn
x,f,w,xfw
f,f,g,ffg
f,f,n,ffn
b,y,y,byy
x,f,w,xfw
s,f,g,sfg
x,f,n,xfn
x,f,w,xfw
x,y,n,xyn
b,s,y,bsy
x,y,w,xyw
x,y,y,xyy
x,s,w,xsw
b,s,w,bsw
f,y,y,fyy
x,s,n,xsn
f,f,g,ffg
b,s,y,bsy
f,y,n,fyn
x,s,y,xsy
x,f,n,xfn
f,y,y,fyy
x,y,n,xyn
x,s,w,xsw
x,y,w,xyw
f,y,n,fyn
f,s,n,fsn
x,f,w,xfw
b,y,w,byw
s,f,n,sfn
x,y,y,xyy
f,s,w,fsw
x,s,y,xsy
f,f,g,ffg
x,y,w,xyw
x,y,y,xyy
f,f,n,ffn
x,s,w,xsw
b,y,y,byy
f,f,g,ffg
x,f,y,xfy
x,s,y,xsy
f,f,n,ffn
x,f,g,xfg
x,y,y,xyy
f,s,w,fsw
x,s,y,xsy
f,y,y,fyy
x,y,n,xyn
x,f,w,xfw
x,s,w,xsw
x,y,y,xyy
b,s,y,bsy
x,s,y,xsy
x,s,y,xsy
x,f,w,xfw
b,s,w,bsw
x,y,w,xyw
x,y,y,xyy
f,s,g,fsg
x,s,n,xsn
b,y,w,byw
x,s,w,xsw
f,f,y,ffy
x,s,y,xsy
b,y,w,byw
x,y,n,xyn
x,s,y,xsy
x,f,n,xfn
x,s,y,xsy
x,y,y,xyy
x,s,n,xsn
x,s,w,xsw
x,s,y,xsy
x,y,w,xyw
x,y,y,xyy
f,y,y,fyy
x,y,w,xyw
s,f,g,sfg
f,f,n,ffn
s,f,g,sfg
x,y,w,xyw
x,s,w,xsw
x,s,g,xsg
x,y,y,xyy
x,y,w,xyw
x,s,y,xsy
x,s,n,xsn
b,s,y,bsy
b,y,w,byw
x,y,w,xyw
x,s,n,xsn
x,s,g,xsg
x,y,n,xyn
f,f,w,ffw
f,y,n,fyn
b,y,w,byw
b,s,w,bsw
x,s,g,xsg
f,y,n,fyn
x,s,w,xsw
f,f,g,ffg
f,s,n,fsn
x,f,g,xfg
f,s,w,fsw
x,s,w,xsw
x,y,y,xyy
b,s,w,bsw
f,f,g,ffg
b,y,w,byw
b,s,y,bsy
s,f,g,sfg
f,y,y,fyy
b,s,w,bsw
x,f,w,xfw
f,y,y,fyy
f,f,g,ffg
x,s,w,xsw
f,f,y,ffy
s,f,g,sfg
b,y,w,byw
b,s,w,bsw
f,f,n,ffn
b,y,y,byy
x,f,n,xfn
x,y,n,xyn
x,y,n,xyn
b,y,y,byy
f,y,y,fyy
x,y,y,xyy
x,s,n,xsn
x,y,w,xyw
b,y,y,byy
x,y,n,xyn
f,y,n,fyn
f,y,n,fyn
f,y,y,fyy
x,s,y,xsy
b,y,w,byw
b,s,w,bsw
x,y,y,xyy
f,f,w,ffw
x,s,y,xsy
b,s,y,bsy
f,y,y,fyy
x,y,n,xyn
x,y,w,xyw
x,s,y,xsy
f,f,w,ffw
b,s,y,bsy
x,y,y,xyy
f,f,g,ffg
b,s,w,bsw
x,s,w,xsw
x,y,n,xyn
x,s,n,xsn
b,s,w,bsw
b,s,y,bsy
f,y,n,fyn
x,y,y,xyy
f,y,y,fyy
x,y,w,xyw
x,s,y,xsy
f,f,n,ffn
f,f,n,ffn
x,f,y,xfy
f,y,y,fyy
f,f,n,ffn
f,f,g,ffg
x,y,n,xyn
x,y,y,xyy
b,s,w,bsw
x,s,w,xsw
x,y,w,xyw
x,f,y,xfy
b,s,y,bsy
x,f,n,xfn
x,y,w,xyw
f,f,g,ffg
b,y,w,byw
x,y,y,xyy
x,s,w,xsw
b,s,y,bsy
b,y,w,byw
x,y,n,xyn
f,s,g,fsg
x,y,n,xyn
b,y,w,byw
b,s,y,bsy
x,y,n,xyn
x,s,n,xsn
f,s,n,fsn
x,s,n,xsn
f,f,g,ffg
x,y,y,xyy
b,y,w,byw
f,y,y,fyy
f,y,y,fyy
b,y,y,byy
s,f,n,sfn
x,s,w,xsw
b,y,y,byy
f,y,y,fyy
f,s,n,fsn
x,s,w,xsw
b,y,y,byy
b,y,y,byy
b,y,y,byy
b,s,w,bsw
x,y,y,xyy
x,y,n,xyn
s,f,n,sfn
f,y,n,fyn
x,s,w,xsw
f,s,y,fsy
x,s,n,xsn
f,y,y,fyy
x,y,n,xyn
x,s,w,xsw
x,f,w,xfw
b,s,w,bsw
x,y,w,xyw
f,y,y,fyy
x,f,n,xfn
x,s,w,xsw
x,y,w,xyw
x,y,w,xyw
b,y,w,byw
x,f,w,xfw
x,y,w,xyw
x,s,w,xsw
x,f,g,xfg
x,f,n,xfn
b,s,w,bsw
x,y,n,xyn
b,y,w,byw
f,y,y,fyy
x,y,w,xyw
b,y,w,byw
b,y,w,byw
x,s,n,xsn
f,s,y,fsy
x,y,n,xyn
b,s,y,bsy
f,s,w,fsw
b,y,y,byy
b,y,y,byy
b,s,y,bsy
f,y,y,fyy
x,s,w,xsw
b,y,y,byy
x,y,n,xyn
b,s,w,bsw
f,y,n,fyn
x,s,w,xsw
x,f,n,xfn
x,y,n,xyn
f,f,g,ffg
x,s,w,xsw
f,f,n,ffn
b,y,y,byy
b,s,w,bsw
x,s,w,xsw
b,s,y,bsy
x,y,y,xyy
x,s,y,xsy
f,f,g,ffg
x,y,y,xyy
x,y,n,xyn
x,y,n,xyn
x,s,y,xsy
b,y,w,byw
x,y,y,xyy
s,f,n,sfn
b,y,y,byy
x,s,w,xsw
x,s,w,xsw
x,s,n,xsn
x,f,n,xfn
x,y,y,xyy
x,y,n,xyn
x,y,y,xyy
b,y,y,byy
f,y,n,fyn
x,y,w,xyw
x,s,y,xsy
x,y,n,xyn
x,y,n,xyn
b,y,y,byy
x,s,w,xsw
x,s,w,xsw
x,y,n,xyn
b,s,w,bsw
x,y,y,xyy
x,s,n,xsn
b,y,y,byy
b,y,w,byw
f,y,y,fyy
b,y,w,byw
x,y,y,xyy
b,s,y,bsy
x,s,y,xsy
b,s,y,bsy
b,s,y,bsy
x,y,w,xyw
x,y,w,xyw
x,s,n,xsn
x,s,w,xsw
x,y,n,xyn
x,y,y,xyy
x,s,w,xsw
b,y,w,byw
b,s,y,bsy
x,f,g,xfg
b,s,y,bsy
x,s,w,xsw
x,y,n,xyn
x,y,y,xyy
f,f,w,ffw
f,f,w,ffw
x,s,w,xsw
f,s,y,fsy
s,f,g,sfg
f,f,y,ffy
x,y,n,xyn
x,y,y,xyy
x,y,y,xyy
x,s,n,xsn
x,s,y,xsy
x,y,w,xyw
x,y,y,xyy
x,y,w,xyw
f,s,y,fsy
x,y,n,xyn
b,s,w,bsw
s,f,g,sfg
x,s,y,xsy
x,f,g,xfg
x,y,y,xyy
b,y,w,byw
b,s,y,bsy
x,s,w,xsw
b,s,w,bsw
f,y,n,fyn
s,f,g,sfg
x,f,w,xfw
s,f,n,sfn
f,y,n,fyn
f,s,y,fsy
b,s,y,bsy
b,s,y,bsy
x,s,n,xsn
f,y,n,fyn
x,s,y,xsy
f,y,y,fyy
x,y,w,xyw
x,y,y,xyy
x,y,y,xyy
f,f,n,ffn
f,y,y,fyy
x,f,g,xfg
x,s,y,xsy
f,y,n,fyn
x,s,y,xsy
x,y,y,xyy
x,f,n,xfn
x,s,w,xsw
x,y,y,xyy
x,y,w,xyw
x,s,w,xsw
f,y,y,fyy
b,s,y,bsy
f,f,w,ffw
f,s,g,fsg
x,y,w,xyw
x,y,w,xyw
f,y,y,fyy
x,s,w,xsw
x,s,y,xsy
f,y,y,fyy
x,y,y,xyy
x,s,y,xsy
x,f,n,xfn
f,y,y,fyy
x,s,w,xsw
b,s,y,bsy
x,s,y,xsy
x,y,n,xyn
b,y,y,byy
x,s,w,xsw
x,y,w,xyw
x,s,y,xsy
f,y,y,fyy
x,f,w,xfw
x,s,n,xsn
x,s,w,xsw
x,s,y,xsy
f,f,w,ffw
f,s,n,fsn
x,f,g,xfg
f,y,n,fyn
x,s,n,xsn
b,s,w,bsw
x,f,g,xfg
x,s,w,xsw
f,f,g,ffg
x,s,g,xsg
x,s,w,xsw
x,s,w,xsw
x,y,g,xyg
f,f,n,ffn
x,s,w,xsw
f,f,n,ffn
x,s,n,xsn
x,y,y,xyy
x,s,y,xsy
f,f,w,ffw
x,s,n,xsn
x,s,g,xsg
x,y,n,xyn
x,f,g,xfg
b,s,w,bsw
x,s,g,xsg
f,f,g,ffg
f,s,n,fsn
x,s,y,xsy
x,f,n,xfn
f,s,w,fsw
x,y,y,xyy
x,f,n,xfn
f,s,g,fsg
x,y,e,xye
b,y,y,byy
x,f,w,xfw
x,s,w,xsw
x,f,g,xfg
f,f,g,ffg
f,f,n,ffn
f,f,w,ffw
b,y,w,byw
f,f,n,ffn
f,y,n,fyn
x,y,w,xyw
b,s,y,bsy
f,s,g,fsg
x,f,g,xfg
f,f,n,ffn
b,s,w,bsw
x,s,w,xsw
x,y,n,xyn
f,f,w,ffw
x,y,y,xyy
x,f,n,xfn
f,f,w,ffw
x,f,n,xfn
x,f,n,xfn
f,s,g,fsg
f,s,g,fsg
f,s,n,fsn
x,f,n,xfn
x,s,n,xsn
x,f,w,xfw
f,f,n,ffn
x,f,n,xfn
f,f,n,ffn
x,f,g,xfg
f,f,n,ffn
x,s,g,xsg
b,y,w,byw
x,f,n,xfn
x,y,y,xyy
f,f,g,ffg
f,f,n,ffn
x,s,y,xsy
f,f,g,ffg
x,f,n,xfn
x,s,w,xsw
x,f,w,xfw
f,f,w,ffw
x,s,w,xsw
x,s,g,xsg
x,y,y,xyy
x,s,y,xsy
x,s,g,xsg
x,s,n,xsn
f,f,n,ffn
f,s,w,fsw
f,s,w,fsw
x,y,y,xyy
f,s,w,fsw
b,s,w,bsw
f,y,w,fyw
x,f,g,xfg
f,y,n,fyn
f,s,n,fsn
x,s,w,xsw
x,y,n,xyn
x,s,g,xsg
x,s,w,xsw
f,f,w,ffw
x,f,n,xfn
x,s,w,xsw
x,y,w,xyw
x,s,w,xsw
f,y,y,fyy
f,s,n,fsn
f,f,g,ffg
f,f,y,ffy
f,y,n,fyn
x,f,n,xfn
f,s,n,fsn
x,f,n,xfn
f,f,n,ffn
b,s,y,bsy
b,y,w,byw
x,y,w,xyw
f,y,w,fyw
f,y,w,fyw
x,f,n,xfn
f,s,y,fsy
x,y,y,xyy
x,s,w,xsw
x,f,g,xfg
x,y,n,xyn
x,f,g,xfg
f,f,n,ffn
x,s,w,xsw
f,f,w,ffw
x,y,y,xyy
f,f,y,ffy
x,f,g,xfg
x,s,n,xsn
x,y,y,xyy
f,y,n,fyn
x,f,w,xfw
x,y,n,xyn
x,s,g,xsg
x,s,w,xsw
x,f,g,xfg
f,y,n,fyn
x,f,n,xfn
x,f,g,xfg
x,f,e,xfe
x,f,n,xfn
x,f,g,xfg
x,y,y,xyy
x,f,n,xfn
b,s,y,bsy
x,f,w,xfw
f,s,g,fsg
x,y,y,xyy
x,f,n,xfn
f,s,w,fsw
x,s,y,xsy
x,s,g,xsg
x,f,g,xfg
f,y,w,fyw
f,f,y,ffy
x,y,w,xyw
f,f,w,ffw
x,f,n,xfn
x,y,n,xyn
x,s,w,xsw
f,y,w,fyw
x,s,y,xsy
x,f,g,xfg
f,y,y,fyy
f,s,g,fsg
f,f,n,ffn
f,y,w,fyw
f,f,g,ffg
x,y,n,xyn
f,f,w,ffw
f,y,n,fyn
b,s,y,bsy
f,f,g,ffg
b,s,w,bsw
f,f,g,ffg
b,y,w,byw
x,y,w,xyw
f,y,n,fyn
x,y,y,xyy
s,f,n,sfn
x,y,n,xyn
f,f,g,ffg
f,f,y,ffy
x,s,g,xsg
f,y,n,fyn
x,f,g,xfg
x,s,g,xsg
x,f,g,xfg
x,y,n,xyn
x,f,n,xfn
f,s,w,fsw
x,f,g,xfg
x,y,n,xyn
f,f,n,ffn
f,s,w,fsw
x,y,w,xyw
f,f,g,ffg
b,y,y,byy
x,s,n,xsn
f,f,n,ffn
f,s,w,fsw
x,y,n,xyn
f,f,w,ffw
f,y,n,fyn
f,f,g,ffg
f,f,g,ffg
f,s,g,fsg
f,f,n,ffn
x,s,g,xsg
x,f,w,xfw
f,f,w,ffw
x,s,n,xsn
x,f,n,xfn
f,s,y,fsy
x,f,w,xfw
f,s,w,fsw
b,s,y,bsy
x,f,w,xfw
x,f,g,xfg
f,s,n,fsn
x,f,g,xfg
x,s,n,xsn
f,s,w,fsw
x,y,w,xyw
x,f,n,xfn
x,f,n,xfn
b,y,y,byy
f,f,w,ffw
x,s,n,xsn
f,f,w,ffw
x,f,n,xfn
f,f,w,ffw
x,s,w,xsw
x,s,n,xsn
x,f,w,xfw
f,s,g,fsg
x,f,g,xfg
x,f,g,xfg
f,s,n,fsn
f,s,w,fsw
f,y,n,fyn
x,y,w,xyw
f,s,g,fsg
x,y,w,xyw
b,y,w,byw
x,s,g,xsg
